# FuncRVA	QualifiedName
c02590	TMEnvEditor.EnvRelWheelMouseUp
c02d90	TMEnvEditor.LFOTensionWheelChange
c103e0	TMEnvEditor.FrameResize
c0dbf0	TMEnvEditor.FreezeBtnClick
c10490	TMEnvEditor.TimeScrollerPaintKnob
c03060	TMEnvEditor.LFOEnableBtnClick
c02e10	TMEnvEditor.LFOTempoBtnClick
c02f40	TMEnvEditor.EnvTempoBtnClick
c12730	TMEnvEditor.OpenMenuClick
c12d10	TMEnvEditor.SaveMenuClick
c13150	TMEnvEditor.CopyMenuClick
c13200	TMEnvEditor.PasteMenuClick
c13930	TMEnvEditor.EnvOptionsMenuPopup
c140c0	TMEnvEditor.PtCurve0MenuClick
c14210	TMEnvEditor.PtArpNextMenuClick
c109d0	TMEnvEditor.SaveRegions0MenuClick
c1e950	TMEnvEditor.ScaleLevelsMenuClick
c1ade0	TMEnvEditor.DecimateMenuClick
c14710	TMEnvEditor.SmoothUpMenuClick
c24180	TMEnvEditor.NormLevelsMenuClick
c1f7b0	TMEnvEditor.BeatDetectMenuClick
c0e7b0	TMEnvEditor.ClawMachineMenuClick
c02320	TMEnvEditor.EnvFilterMenuClick
c24410	TMEnvEditor.N16bands7Click
c17640	TMEnvEditor.SpecNatScaleMenuClick
c17600	TMEnvEditor.SpecDraftMenuClick
c213f0	TMEnvEditor.AutoRenameRegionsMenuClick
c0fcf0	TMEnvEditor.PtCopyValueMenuClick
c0fd20	TMEnvEditor.PtPasteValueMenuClick
c24990	TMEnvEditor.MenuBtnBeforePopup
c025c0	TMEnvEditor.EnvResetMenuClick
bffbc0	TMEnvEditor.LevelScrollerChange
c03a00	TMEnvEditor.GlobalPanelMouseDown
c03140	TMEnvEditor.LFOFrozenMenuClick
c039e0	TMEnvEditor.GlobalPanelDblClick
c02650	TMEnvEditor.EnvSmoothResetMenuClick
c0e3b0	TMEnvEditor.InsPointAtMarkerMenuClick
c24550	TMEnvEditor.MakeAllLoopMenuClick
c24630	TMEnvEditor.MakePointsSmoothMenuClick
